timestamp,index,main_index,georgia_idx,georgia_signals,syria_signals,greece_signals,syria_idx,total_signals,greece_idx,armenia_idx,iran_idx,iraq_signals,iraq_idx,armenia_signals,bulgaria_idx,iran_signals,status,bulgaria_signals
2026-01-01T20:06:49.349310,7.46,,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,,0
2026-01-15T10:41:56.992459,,6.39,1.0,3,10,15,4.22,76,3.56,3.61,4.21,15,2.78,10,3.81,8,ELEVATED,15
2026-01-15T12:44:57.499200,,6.24,1.0,4,10,15,1.7,78,4.37,3.31,4.47,15,3.54,10,2.88,9,ELEVATED,15
2026-01-15T23:32:37.368792,,7.57,3.63,7,10,15,4.53,83,4.64,1.0,5.17,15,5.76,10,4.87,11,CRITICAL,15
2026-01-16T00:34:17.555514,,7.35,3.63,4,10,15,4.53,75,3.28,1.0,4.77,15,5.76,10,4.87,6,CRITICAL,15
2026-01-16T00:48:15.880253,,7.45,3.63,4,10,15,4.53,75,4.36,1.0,4.77,15,5.76,10,4.87,6,CRITICAL,15
2026-01-16T11:43:18.762284,,7.39,3.63,5,15,15,4.39,87,4.25,4.22,4.89,15,4.46,15,5.16,7,CRITICAL,15
2026-01-16T08:57:24.453249,,7.32,3.63,5,15,15,4.39,87,4.16,4.22,4.89,15,4.46,15,4.93,7,CRITICAL,15
2026-01-16T09:30:38.052756,,7.34,3.63,5,15,15,4.38,87,4.16,4.22,4.89,15,4.87,15,4.67,7,CRITICAL,15
2026-01-16T10:21:01.803849,,7.13,3.63,6,13,15,3.03,86,4.16,4.22,4.89,15,4.87,15,4.18,7,CRITICAL,15
2026-01-16T11:05:15.784506,,7.42,4.23,7,15,15,4.97,89,4.43,4.22,4.89,15,4.87,15,3.71,7,CRITICAL,15
2026-01-16T11:23:53.434438,,7.29,4.23,7,15,15,4.25,89,4.43,4.22,4.89,15,4.79,15,3.71,7,CRITICAL,15
2026-01-16T11:37:37.503632,,7.44,4.23,8,15,15,5.39,90,4.43,3.47,5.26,15,3.93,10,4.18,12,CRITICAL,15
2026-01-16T11:49:40.787683,,7.04,4.23,8,15,15,1.73,90,4.43,3.47,5.26,15,3.93,10,4.18,12,CRITICAL,15
2026-01-16T12:47:14.602448,,7.44,4.23,7,15,15,5.39,89,3.84,3.47,5.26,15,4.78,10,3.72,12,CRITICAL,15
2026-01-16T13:33:23.915882,,7.4,4.23,8,15,15,5.11,90,4.18,3.47,5.26,15,4.73,10,3.74,12,CRITICAL,15
2026-01-16T13:44:53.544621,,6.95,4.23,8,15,15,1.0,90,4.18,3.47,5.26,15,4.73,10,3.46,12,ELEVATED,15
2026-01-16T14:28:31.849885,,7.56,4.23,9,15,15,5.11,91,5.03,3.25,5.26,15,4.98,10,3.73,12,CRITICAL,15
2026-01-16T14:54:21.959482,,7.75,4.95,15,15,15,5.81,90,5.03,3.02,1.0,15,5.48,15,4.9,0,CRITICAL,15
2026-01-16T15:31:37.529359,,7.6,4.6,15,15,15,5.56,90,4.93,3.02,1.0,15,5.62,15,4.61,0,CRITICAL,15
2026-01-16T16:33:26.646415,,7.16,4.01,15,15,15,5.17,90,2.44,3.02,1.0,15,4.98,15,5.33,0,CRITICAL,15
2026-01-16T17:30:43.683947,,7.19,5.11,15,15,15,5.03,90,2.44,3.02,1.0,15,5.03,15,4.73,0,CRITICAL,15
2026-01-16T18:43:06.979410,,7.18,5.11,15,15,15,5.18,90,2.44,3.02,1.0,15,5.18,15,4.22,0,CRITICAL,15
2026-01-16T19:26:24.319123,,7.17,4.01,15,15,15,5.56,90,3.93,3.02,1.0,15,5.18,15,3.95,0,CRITICAL,15
2026-01-16T20:29:01.472563,,7.25,5.01,15,15,15,5.31,90,3.93,3.02,1.0,15,5.31,15,3.44,0,CRITICAL,15
2026-01-16T21:25:37.124282,,7.36,5.01,15,15,15,5.67,90,2.41,3.02,1.0,15,5.67,15,3.44,0,CRITICAL,15
